title,description,category,teck_stack,github_link,creation_date
hotel,A list of hotels in php,PHP,BE,https://github.com/TanaraCavalcante/php-hotel,03/10/2024
strong password generator,SECURE password generator,PHP CSS,BE,https://github.com/TanaraCavalcante/php-strong-password-generator,07/10/2024
Dischi Json,Web-app that allows you to read a list of disks present on our server.,PHP CSS JavaScript HTML,BE,https://github.com/TanaraCavalcante/php-dischi-json,08/10/2024
Oop-1,"A project with the first concepts of class, variables and instance methods.",PHP CSS,BE,https://github.com/TanaraCavalcante/php-oop-1,09/10/2024
Oop-2,A pet-shop shopping website.,PHP CSS,BE,https://github.com/TanaraCavalcante/php-oop-2,10/10/2024
db-first,First work with database,MSQL,BE,https://github.com/TanaraCavalcante/db-first,14/10/2024
db-university,"I import the schema into SQL, and follow the file query submitted by the project.",MSQL,BE,https://github.com/TanaraCavalcante/db-university,16/10/2024
Laravel New,Started with Laravel framework.,PHP Blade JavaScript,BE,https://github.com/TanaraCavalcante/laravel-new,21/10/2024
Laravel Primi passi,getting started with laravel.,PHP Blade JavaScript,BE,https://github.com/TanaraCavalcante/laravel-primi-passi,21/10/2024
Laravel Template,A pre-made template for Laravel projects.,PHP Blade ,BE,https://github.com/TanaraCavalcante/laravel-template-ok,22/10/2024
Laravel Comics,DC-comics website project with Laravel.,PHP Blade ,BE,https://github.com/TanaraCavalcante/laravel-comics,22/10/2024
Laravel Model controller,Interaction with the database using the Laravel ORM.,PHP Blade ,BE,https://github.com/TanaraCavalcante/laravel-model-controller,24/10/2024
Laravel Migration seeder,A table trains with Migration.,PHP Blade ,BE,https://github.com/TanaraCavalcante/laravel-migration-seeder,25/10/2024
Laravel DC-comics,"Hero movie library, with complete CRUD implemented.",PHP Blade CSS,BE,https://github.com/TanaraCavalcante/laravel-dc-comics,29/10/2024
Laravel auth,A management system for our project portfolio.,PHP Blade ,BE,https://github.com/TanaraCavalcante/laravel-auth,04/11/2024
